device_id,device_name,device_type,installation_date,is_active,room_id
1,Device_1,Heater,2023-08-15,1,2
2,Device_2,AC,2024-11-08,1,5
3,Device_3,Light,2024-03-14,0,10
4,Device_4,AC,2023-09-30,1,5
5,Device_5,Heater,2022-10-25,0,6
6,Device_6,Heater,2023-05-25,0,9
7,Device_7,Light,2024-05-08,0,3
8,Device_8,Heater,2023-09-22,0,1
9,Device_9,TV,2022-10-20,1,5
10,Device_10,AC,2024-08-16,0,1
11,Device_11,AC,2022-12-27,1,2
12,Device_12,Heater,2023-04-20,0,7
13,Device_13,Heater,2023-03-02,0,10
14,Device_14,Heater,2023-01-29,0,10
15,Device_15,Light,2023-09-05,1,3
16,Device_16,TV,2024-08-01,0,8
17,Device_17,Light,2023-06-28,1,10
18,Device_18,Light,2024-04-26,0,5
19,Device_19,Heater,2024-10-01,0,2
20,Device_20,TV,2024-02-01,1,10
21,Device_21,AC,2025-01-10,1,9
22,Device_22,Heater,2022-09-12,0,9
23,Device_23,TV,2024-01-03,0,5
24,Device_24,Fan,2023-11-24,0,4
25,Device_25,Heater,2022-12-17,0,5
26,Device_26,Heater,2023-06-29,0,8
27,Device_27,Light,2022-10-27,1,10
28,Device_28,Light,2023-11-16,1,7
29,Device_29,TV,2023-07-10,1,8
30,Device_30,TV,2024-11-03,1,10
31,Device_31,Fan,2024-06-11,1,3
32,Device_32,Light,2023-04-24,0,5
33,Device_33,AC,2023-03-21,1,6
34,Device_34,Light,2023-07-05,1,4
35,Device_35,Light,2024-04-04,1,3
36,Device_36,TV,2023-06-11,1,10
37,Device_37,Light,2024-10-29,0,3
38,Device_38,AC,2023-03-08,0,10
39,Device_39,Fan,2022-10-06,1,9
40,Device_40,Heater,2024-03-20,1,9
41,Device_41,Fan,2024-08-14,1,8
42,Device_42,AC,2023-11-05,1,1
43,Device_43,AC,2023-01-30,0,7
44,Device_44,Fan,2023-11-24,0,4
45,Device_45,TV,2023-07-26,1,5
46,Device_46,Fan,2023-08-22,0,2
47,Device_47,Fan,2023-04-17,1,10
48,Device_48,Fan,2024-05-15,0,7
49,Device_49,Heater,2024-01-14,1,3
50,Device_50,Heater,2024-07-31,1,8
